NP,Name,Size,Revenue,Mission,Environment protection,Conservation,Biodiversity,Environmental preservation,Environmental restoration,Sustainability,Ecosystem services,Local,Global,Sustainable development goals,Education,Activism,Mean,Std
21,Chicago Botanic Gardens,Large,$88.3M,"The mission of the Chicago Botanic Garden is ""we cultivate the power of plants to sustain and enrich life."" The 385-acre Garden features 28 display gardens and four natural habitats, uniquely situated on nine islands surrounded by lakes. With the groundbreaking for the Garden in 1965 and its opening in 1972, a permanent site on which to carry out its mission was created. The mission encompasses three important components: collections, education and research. The Chicago Botanic Garden, with its world-renowned plant collections and displays, is one of the country's most visited public gardens and a preeminent center for learning and scientific research.",0.037,0.285,0.612,0.159,0.147,0.74,0.527,0.621,0.736,0.506,0.888,0.137,0.45,0.29
22,Environmental Protection and Conservation,Large,$159.5M,"Conservation International (CI) applies innovations in science, economics, policy and community participation to protect the Earth's richest regions of plant and animal diversity and demonstrate that human societies can live harmoniously with nature. Founded in 1987, CI works in more than 40 countries on four continents to help people find economic alternatives without harming their natural environments. Building upon a strong foundation of science, partnership and field demonstration, CI empowers societies to responsibly and sustainably care for nature for the well-being of humanity. Conservation International is committed to helping societies adopt a more sustainable approach to development - one that considers and values nature at every turn. ",0.921,0.995,0.943,0.84,0.464,0.942,0.694,0.65,0.77,0.673,0.055,0.234,0.68,0.30
23,Earthjustice,Large,$150M,"Founded in 1971, Earthjustice fights to preserve magnificent places and wildlife, protect people's health, advance clean energy, and combat climate change. As the premier nonprofit environmental law organization, we take on the biggest, most precedent-setting cases across the country. We have more than 100 attorneys in 13 regional offices and satellites, an international program, and communications and policy teams. We partner with hundreds of organizations, tribes, and communities-whom we represent free of charge-to take on the critical environmental issues of our time and bring about positive change.",0.945,0.511,0.593,0.959,0.529,0.556,0.584,0.216,0.524,0.429,0.055,0.727,0.55,0.26
24,Environmental Defense Fund,Large,$185.6M,"What distinguishes EDF from others is the combination of what we protect and how we protect it. We work to solve the most critical environmental problems facing the planet, focusing on mitigating climate change, restoring the ocean's bounty, protecting wildlife and their habitats, and safeguarding our health. Since these topics are intertwined, our solutions take a multidisciplinary approach. We work in concert with other organizations-as well as with business, government and communities-and avoid duplicating work already being done effectively by others.",0.991,0.745,0.66,0.896,0.811,0.621,0.602,0.348,0.462,0.499,0.005,0.074,0.56,0.30
25,Golden Gate National Parks Conservancy,Large,$67.5M,"The Golden Gate National Parks Conservancy is the nonprofit membership organization created to preserve the Golden Gate National Parks, enhance the experiences of park visitors, and build a community dedicated to conserving the parks for the future. Since its inception in 1981, the Parks Conservancy has provided the Golden Gate National Parks with $140 million in support. Currently, the Conservancy has more than 13,500 members. We steward more than 80,400 acres across more than 30 spectacular park sites; foster environmental awareness in 18,000 school children every year; and protect 1,200 plant and animals species, while growing over 140,000 native plants each year for restoration work park wide.",0.925,0.915,0.596,0.93,0.895,0.704,0.647,0.539,0.534,0.58,0.433,0.378,0.67,0.20
26,Missouri Botanical Garden,Large,$53.2M,"Founded in 1859, the Missouri Botanical Garden is one of the oldest botanical institutions in the country and a National Historic Landmark. The Garden is a center for botanical research and science education, as well as an oasis in the city of St. Louis - 79 acres of beautiful horticultural display, including a 14-acre Japanese strolling garden, Henry Shaw's original 1850 estate home, and one of the world's largest collections of rare and endangered orchids. The Missouri Botanical Garden works to discover and share knowledge about plants and their environment in order to preserve and enrich life.",0.932,0.596,0.715,0.868,0.343,0.627,0.597,0.529,0.358,0.451,0.94,0.13,0.59,0.25
27,National Park Foundation,Large,$70.9M,"As the official non-profit partner of the Nation Park Service, the National Park Foundation generates private support and builds strategic partnerships to protect and enhance America's National Parks for present and future generations.",0.442,0.366,0.134,0.138,0.059,0.52,0.081,0.035,0.11,0.063,0.002,0.073,0.17,0.17
28,Natural Resources Defense Council,Large,$197.6M,"The Natural Resources Defense Council's (NRDC) purpose is to safeguard the Earth: its people, its plants and animals and the natural systems on which all life depends. We work to restore the integrity of the elements that sustain life - air, land, and water - and to defend endangered natural places. We seek to establish sustainability and good stewardship of the Earth as central ethical imperatives of human society. NRDC affirms the integral place of human beings in the environment. We strive to protect nature in ways that advance the long-term welfare of present and future generations. We work to foster the fundamental right of all people to have a voice in decisions that affect their environment.",0.921,0.776,0.731,0.914,0.874,0.933,0.751,0.476,0.536,0.58,0.196,0.723,0.70,0.22
29,The Nature Conservancy,Large,$1.1B,"The Nature Conservancy is a leading conservation organization working around the world to protect ecologically important lands and waters for nature and people. Since our founding in 1951 we have protected more than 119 million acres of land and 5,000 miles of rivers worldwide - and we operate more than 100 marine conservation projects globally. We have more than one million members. We work in all 50 states and more than 30 countries - protecting habitats from grasslands to coral reefs, from Australia to Alaska to Zambia. We address threats to conservation involving climate change, fire, fresh water, forests, invasive species, and marine ecosystems. We use a science-based approach, aided by our more than 500 staff scientists, and we pursue non-confrontational, pragmatic solutions to conservation challenges.",0.924,0.955,0.773,0.929,0.546,0.657,0.662,0.387,0.826,0.502,0.098,0.015,0.61,0.31
30,World Resources Institute,Large,$159.3M,"Founded in 1982, World Resources Institute (WRI) is a global research organization that spans more than 50 countries, with offices in the United States, China, India, Brazil, Indonesia and more. WRI's mission is to move human society to live in ways that protect Earth's environment and its capacity to provide for the needs and aspirations of current and future generations. WRI's more than 450 experts and staff work closely with leaders to turn big ideas into action to sustain our natural resources-the foundation of economic opportunity and human well-being. Our work focuses on six critical issues at the intersection of environment and development: climate, energy, food, forests, water, and cities and transport.",0.924,0.67,0.452,0.82,0.464,0.759,0.628,0.441,0.963,0.748,0.088,0.362,0.61,0.26
