Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,,43.25%,Increase,73.2,24,17.3,51.1,56,19.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,,32.29%,Increase,67.6,28,16.8,51.1,56,19.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,,63.99%,Increase,83.8,16,13.2,51.1,56,19.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,0.8,84,0.3,0,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,0.6,72,0.1,0,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,0.6,24,0.4,0,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,1.3,28,0.6,0,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,0.9,16,0.1,0,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,early seral species,20.00%,Increase,18.6,84,4.6,15.5,56,4.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,early seral species,96.13%,Increase,30.4,72,7.8,15.5,56,4.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,early seral species,64.52%,Increase,25.5,24,6,15.5,56,4.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,early seral species,99.35%,Increase,30.9,28,7.7,15.5,56,4.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,cover,%,early seral species,110.32%,Increase,32.6,16,5.2,15.5,56,4.2,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,tall shrub species,14.97%,Increase,16.9,84,1.9,14.7,56,6.4,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,tall shrub species,4.08%,Increase,15.3,72,3.6,14.7,56,6.4,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,tall shrub species,12.93%,Increase,16.6,24,3.6,14.7,56,6.4,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,tall shrub species,26.53%,Increase,18.6,28,1.1,14.7,56,6.4,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,cover,%,tall shrub species,23.81%,Increase,18.2,16,2,14.7,56,6.4,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,clonal low shrubs,-34.65%,Decrease,14.9,84,6.6,22.8,56,16.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,clonal low shrubs,-5.26%,Decrease,21.6,72,5.2,22.8,56,16.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,cover,%,clonal low shrubs,15.35%,Increase,26.3,24,11.5,22.8,56,16.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,cover,%,clonal low shrubs,3.51%,Increase,23.6,28,12.1,22.8,56,16.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,cover,%,clonal low shrubs,11.40%,Increase,25.4,16,10.3,22.8,56,16.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,,58.96%,Increase,76.3,84,3.5,48,56,4.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,,79.17%,Increase,86,72,13.6,48,56,4.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,,11.88%,Increase,53.7,24,5.4,48,56,4.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,,14.58%,Increase,55,28,3.5,48,56,4.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,,24.38%,Increase,59.7,16,7.3,48,56,4.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,non-native,#DIV/0!,#DIV/0!,1.2,84,9.6,0,56,0.7,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,non-native,#DIV/0!,#DIV/0!,1.1,72,2.9,0,56,0.7,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,non-native,#DIV/0!,#DIV/0!,0.9,24,9.1,0,56,0.7,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,non-native,#DIV/0!,#DIV/0!,1.5,28,7.9,0,56,0.7,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,non-native,#DIV/0!,#DIV/0!,2.2,16,9.9,0,56,0.7,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,early seral species,135.90%,Increase,9.2,84,0.9,3.9,56,3.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,early seral species,115.38%,Increase,8.4,72,0.9,3.9,56,3.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,early seral species,89.74%,Increase,7.4,24,4.2,3.9,56,3.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,early seral species,164.10%,Increase,10.3,28,7.2,3.9,56,3.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,early seral species,123.08%,Increase,8.7,16,8,3.9,56,3.6,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,tall shrub species,20.00%,Increase,3.6,84,0.7,3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,tall shrub species,20.00%,Increase,3.6,72,0.8,3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,tall shrub species,20.00%,Increase,3.6,24,0.7,3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,tall shrub species,46.67%,Increase,4.4,28,0.8,3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,tall shrub species,30.00%,Increase,3.9,16,0.4,3,56,0.5,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,clonal low shrubs,11.11%,Increase,3,84,0.6,2.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,clonal low shrubs,29.63%,Increase,3.5,72,1.2,2.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,clonal low shrubs,14.81%,Increase,3.1,24,0.9,2.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,species richness,number of species,clonal low shrubs,22.22%,Increase,3.3,28,0.8,2.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,species richness,number of species,clonal low shrubs,44.44%,Increase,3.9,16,0.8,2.7,56,0.9,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,N,0.05,community composition,Plant,density,Seedlings/ha,seedling,254.93%,Increase,2662,84,699,750,56,463,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,density,Seedlings/ha,seedling,364.93%,Increase,3487,72,987,750,56,463,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,density,Seedlings/ha,seedling,320.00%,Increase,3150,24,1327,750,56,463,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,density,Seedlings/ha,seedling,658.27%,Increase,5687,28,1702,750,56,463,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,density,Seedlings/ha,seedling,291.60%,Increase,2937,16,947,750,56,463,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 300 trees/ha,,11,Y,0.05,community composition,Plant,species richness,Species per 80m^2 area,seedling,142.86%,Increase,1.7,84,0.2,0.7,56,0.1,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,Species per 80m^2 area,seedling,128.57%,Increase,1.6,72,0.2,0.7,56,0.1,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,Y,0.05,community composition,Plant,species richness,Species per 80m^2 area,seedling,114.29%,Increase,1.5,24,0.3,0.7,56,0.1,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,Y,0.05,community composition,Plant,species richness,Species per 80m^2 area,seedling,171.43%,Increase,1.9,28,0.3,0.7,56,0.1,PNW,
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,Y,0.05,community composition,Plant,species richness,Species per 80m^2 area,seedling,214.29%,Increase,2.2,16,0.6,0.7,56,0.1,PNW,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,,3,Y,0.05,community composition,Plant,species richness,Number of Species,,78.86%,Increase,31.3,36,,17.5,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,,3,Y,0.05,community composition,Plant,simpson diversity,,,-55.26%,Decrease,0.17,36,,0.38,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,,3,Y,0.05,community composition,Plant,shannon diversity,,,51.70%,Increase,2.23,36,,1.47,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,,2,Y,0.05,community composition,Plant,species richness,,,124.57%,Increase,39.3,36,,17.5,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,,2,Y,0.05,community composition,Plant,simpson diversity,,,-65.79%,Decrease,0.13,36,,0.38,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,,2,Y,0.05,community composition,Plant,species diversity,,,72.79%,Increase,2.54,36,,1.47,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,,1,Y,0.05,community composition,Plant,species richness,Number of Species,,94.29%,Increase,34,36,,17.5,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,,1,Y,0.05,community composition,Plant,species diversity,,,-57.89%,Decrease,0.16,36,,0.38,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,,1,Y,0.05,community composition,Plant,species diversity,,,56.46%,Increase,2.3,36,,1.47,36,,SE,Georgia
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,cover,trees/ha,overstory,-35.40%,Decrease,668,12,,1034,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,height,m,overstory,4.08%,Increase,15.3,12,,14.7,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,diameter,cm at 1.4m,overstory,8.90%,Increase,15.9,12,,14.6,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,basal area,m^2/ha,overstory,-29.61%,Decrease,16.4,12,,23.3,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,volume,m^3/ha,overstory,-34.29%,Decrease,158.7,12,,241.5,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,density,trees/ha,overstory,2.61%,Increase,1061,12,,1034,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,height,m,overstory,-6.12%,Decrease,13.8,12,,14.7,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,diameter,cm at 1.4m,overstory,-4.79%,Decrease,13.9,12,,14.6,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,basal area,m^2/ha,overstory,-37.34%,Decrease,14.6,12,,23.3,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,volume,m^3/ha,overstory,-41.82%,Decrease,140.5,12,,241.5,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,density,trees/ha,overstory,-14.99%,Decrease,879,12,,1034,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,height,m,overstory,0.68%,Increase,14.8,12,,14.7,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,diameter,cm at 1.4m,overstory,36.30%,Increase,19.9,12,,14.6,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,basal area,m^2/ha,overstory,-37.77%,Decrease,14.5,12,,23.3,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,volume,m^3/ha,overstory,-43.93%,Decrease,135.4,12,,241.5,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,21.21%,Increase,4,36,,3.3,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-10.53%,Decrease,61.2,36,,68.4,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,380.00%,Increase,4.8,36,,1,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,Y,0.05,community composition,Plant,cover,%,understory,1326.67%,Increase,21.4,36,,1.5,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-16.67%,Decrease,7,36,,8.4,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-68.00%,Decrease,0.8,36,,2.5,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-57.58%,Decrease,1.4,36,,3.3,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-19.30%,Decrease,55.2,36,,68.4,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,30.00%,Increase,1.3,36,,1,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,Y,0.05,community composition,Plant,cover,%,understory,2500.00%,Increase,39,36,,1.5,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,53.57%,Increase,12.9,36,,8.4,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-68.00%,Decrease,0.8,36,,2.5,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-3.03%,Decrease,3.2,36,,3.3,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-42.25%,Decrease,39.5,36,,68.4,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,0.00%,Decrease,1,36,,1,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,Y,0.05,community composition,Plant,cover,%,understory,1460.00%,Increase,23.4,36,,1.5,36,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-36.90%,Decrease,5.3,36,,8.4,36,,SE,
